Linear Regression,Ridge Regression,Lasso Regression,Random Forest,XGBoost,AdaBoost,MLP
0.8118496910341402,0.806768373899517,0.7564925797182331,0.9922262144729673,0.9923843153355454,0.9061121991658007,0.7643640053419303
0.8112651299534759,0.8097926243490032,0.7645992044283549,0.9934797680724907,0.9920533629603883,0.9140831904133653,0.7802845583404903
0.802340842284762,0.7981068805838374,0.7513039938500635,0.9929436135988247,0.9916407544229048,0.9044595074419701,0.7715421493902519
0.8048302180549102,0.8007131249241223,0.7608592814639616,0.9933968309274773,0.9927312779183134,0.9100389109724035,0.7840274772927041
0.8135194849708159,0.8111430333099916,0.7661501907911421,0.9954481868954066,0.9936732810087979,0.9163246020059599,0.7756118118611551
0.8094171611979389,0.8090819138880995,0.767170997147244,0.9939774877738172,0.9893936411116553,0.9064790835803578,0.7807548853624047
0.7808684665597898,0.7758382057623142,0.7426490598532136,0.9942631881791357,0.9921203307910879,0.902942645354424,0.7665757064222911
0.8137104652795466,0.8115372628126261,0.7658730163998704,0.9936217426288242,0.9933549085308242,0.9128554167102078,0.7893120006935299
0.8085234812351269,0.8035440567278553,0.7587149686166744,0.9948854406649078,0.9924242045605673,0.9122212121872304,0.7668097790365054
0.7912701414300327,0.7863504969839532,0.7418072108067404,0.9946967194288598,0.9910518805995929,0.8974208086470791,0.7487735377649292
0.8055577689356999,0.7992063664007067,0.7656698766666032,0.9924873761394603,0.9905902785935944,0.9162350555730763,0.759293753968666
0.810383212463899,0.8079838050625778,0.757726859976023,0.9916110392816103,0.9902861962329766,0.9085988178910704,0.7708398158949478
0.7974912793274964,0.7910699325249243,0.7490807113164109,0.9912328500297735,0.9915072509425945,0.9116161350649318,0.7519755926436689
0.792166341428667,0.7866331321456997,0.7461032843199423,0.9938391125384815,0.9908245655394359,0.9006044547541829,0.7764230027147638
0.8101768818906473,0.8075545319256681,0.761765686568745,0.9927366099093884,0.9928641547958579,0.9128188988081696,0.7574426295087482
0.8078416859013151,0.8041189567106045,0.7567837419144842,0.9920758212226065,0.9914014001236543,0.9122151422275063,0.758348701124867
0.7948438192175356,0.791776983529038,0.7488897743229163,0.9926777456518389,0.991013130335443,0.9064044873866404,0.7507254763800855
0.8089199767377924,0.804182069536912,0.7550397940230238,0.9953421335627447,0.9925544525772863,0.9079128746634157,0.7704418130972761
0.8050215251380463,0.7976356847542372,0.756129333402798,0.9944375667409107,0.9921127420815352,0.9104917832107636,0.7875967954813184
0.812572227443537,0.8105295577260423,0.7671643694686593,0.9945551433966534,0.9927003292614337,0.9103891595340463,0.7755878289325295
