name,author
A7232-0,"Carroll, R"
A18422-0,"Hall, P"
A13633-1,"Fan, Jianqing"
A12402-0,"Dunson, D. B."
A21046-0,"Ibrahim, J"
A52163-1,"Zeng, D"
A52370-0-2,"Zhu, Hongtu"
A6744-1,"Cai, T. Tony"
A11171-0,"Dette, H"
A27464-1,"Liu, Yufeng"
A27238-0-4,"Lin, X"
A27022-1,"Li, Runze"
A39308-0,"Robins, J"
A52373-0-0,"Zhu, L"
A28821-0,"Mallick, Bani K."
A50962-2,"Wu, Yichao"
A36602-0,"Pillai, Natesh S."
