,index,Variance,FTest,MutuaInfo,GRA,DecisionTree,XGBoost,RandomForest,ExtraTrees,Lasso
0,nAcid,0.9999999999999999,8.347713153715025,0.001414741761530891,0.8016153239419944,4.17222682897321e-05,1.4799018e-05,3.6979578577232226e-05,0.0004410815080683917,0.042022537214122024
1,ALogP,0.9999999999999999,72.25907111441597,0.05813302098684581,0.8016414038156214,0.0008811494453945584,0.00012855296,0.003114806885436182,0.002380815475946121,0.0347455354024236
2,ALogp2,0.9999999999999999,2.1561233404696427,0.025271779436589537,0.8006469145575411,1.2978202706251758e-05,0.0001744659,0.002030612355906435,0.0016666762053643446,0.08079284919133854
3,AMR,1.0000000000000002,435.0846430840818,0.19871020624987068,0.8009898453216494,0.0004692866158535778,0.00034067937,0.0010820832392824523,0.005282235776928426,0.7926020364895079
4,apol,1.0,339.523357624568,0.2159204911441277,0.8009874365956388,5.703444610238155e-05,0.0012053914,0.0003189469781483445,0.0025070287195382264,0.36455459409859226
5,naAromAtom,1.0,233.643415902721,0.24574609528505942,0.8014148811052203,4.900309576024015e-07,0.0011332653,0.00011936460696345403,0.0005447801477400601,0.30623226101959916
6,nAromBond,1.0,175.64542479595488,0.21727581374206872,0.8014985899834346,4.873578809494033e-07,5.7636313e-05,0.00020467235499794468,0.0007961177987525817,0.06181217557459463
7,nAtom,1.0000000000000002,297.3683844945002,0.2056000102053419,0.8009841388786689,1.5177803142958676e-06,0.00023559266,0.000266101738268523,0.0023056418037765707,0.13595168111524025
8,nHeavyAtom,0.9999999999999999,276.56786136432675,0.19014066341613045,0.8010066947934565,4.685484402686146e-05,0.00011122574,8.504781302898055e-05,0.0006280327031645573,0.13273901249231823
9,nH,0.9999999999999999,266.2573083105096,0.1915040804152479,0.8010798329204881,0.001255454737441751,0.00016737272,0.0003700779561116131,0.002569718604349807,0.19148186933592534
10,nC,1.0,527.9532289927739,0.23091436757275607,0.8009764898476996,1.6426182260558484e-05,0.07399469,0.012288024750909798,0.018221734108516466,0.02186942621555346
11,nN,1.0,70.84219690215862,0.14411838552141631,0.8016468265033799,8.821176960036854e-05,0.0027294718,0.0003206681116288879,0.0026374649977089827,0.07503617269362663
12,nO,1.0,10.271392195952766,0.09540591542002552,0.8018411753367051,3.6833439553986927e-06,0.00015802254,6.791008043207069e-05,0.0007105185832421561,0.5056894110628639
13,nS,1.0,0.08353745986137072,0.08900719473240803,0.8019671038348332,0.0,2.8710298e-05,8.14417489270764e-05,0.0012131988582387814,0.17808204026688484
14,nP,1.0000000000000002,2.550639666161534,0.0,0.8002185926300011,0.0,0.0,0.0,0.0,0.06502674233074014
15,nF,1.0000000000000002,15.061545102823342,0.02442034224727907,0.8017388592763842,6.423089995500016e-06,0.00013065012,1.7582486218714252e-05,0.0002978769214684124,0.8661587806978557
16,nCl,1.0,7.397023265052931,0.006531668737959739,0.8015798200213826,0.0,5.402162e-05,4.940194506835057e-06,8.60376586727123e-05,0.21301987619216586
17,nBr,1.0,17.024278540975516,0.0022712353999725376,0.8018719496774956,1.5434547906776355e-06,6.942305e-07,1.5657642843118255e-05,0.00015049042603777703,0.11075244252001946
18,nI,1.0,3.8641813621843557,0.0050725492106490355,0.7999277360656181,0.0,0.0,0.0,5.459546015508995e-08,0.05432742917931086
19,nX,1.0000000000000002,0.8420086533935907,0.012288608648657995,0.8019795604365688,2.620921120470856e-07,6.6574235e-06,0.00010758626106862242,0.0009628524464006903,0.006026609884268319
20,ATSc1,1.0,1.5612995377339898,0.215798087521482,0.8017844778614104,0.0010693206723627958,0.00069008465,0.002371939175920754,0.002354363003390169,0.10980752046726734
21,ATSc2,0.9999999999999998,7.331024173071842,0.2556105343087145,0.8018957595958605,0.008279048669899682,0.0006044065,0.004472846920254242,0.0031804594051216793,0.38389663107508293
22,ATSc3,1.0000000000000002,278.6405621945217,0.2005269431752188,0.8028136444248923,0.006650918264004431,0.000384664,0.008754877576632562,0.0028939273089720313,0.17719957706858108
23,ATSc4,1.0000000000000002,222.6714834038967,0.22328738828744488,0.8012284763325942,0.00444344446260234,0.00047844643,0.0037596168740283015,0.003681522861628381,0.2903736624825735
24,ATSc5,1.0,11.309996203646913,0.1771103358980417,0.8021713465776248,0.008584497943078473,0.0010607038,0.003936474508645543,0.0023226640423398078,0.09823401536925559
25,ATSm1,1.0,15.343226126985778,0.1861242732296291,0.8010855318358409,0.001278937805644381,0.00015585053,0.0008436038370876725,0.000733989761481006,0.10211816699318692
26,ATSm2,1.0,193.33360717980207,0.20834487299533055,0.8011781380906614,3.361009668285809e-05,0.0033167142,0.0005776945247093831,0.0008049972645551916,0.09755143217385914
27,ATSm3,0.9999999999999998,176.28827577751468,0.14171060035081506,0.8012386834951456,0.0001693288038323941,0.00081163325,0.0008168633196710327,0.0005729579012634567,0.45588820595418555
28,ATSm4,1.0,192.34884698925882,0.14404130140494242,0.8012162730626736,0.00016670061556756986,0.00037640694,0.0006896913362517469,0.0005609137231929954,0.2855950088069825
29,ATSm5,1.0,132.14723528774854,0.14653497679325422,0.8011827519349946,0.005113191175554121,0.000192254,0.002160932677481025,0.0013096105445820456,0.674896087303545
30,ATSp1,1.0000000000000002,367.8882951023319,0.19575973683392967,0.8010409972648612,3.1596912507401624e-05,0.0001831526,0.0006512938244936447,0.004461688474633279,1.1092393982381281
31,ATSp2,0.9999999999999998,373.67047048061784,0.19859370369659146,0.8010772078970781,2.74040192954484e-05,0.00011281932,0.0004171255446563784,0.004488994653920377,0.1403881755881778
32,ATSp3,1.0,346.6373185415364,0.18826082522838394,0.8011757596517256,1.6720497355961316e-05,0.00029505914,0.0008319215453227233,0.0010547242048904555,0.16878142822614645
33,ATSp4,1.0000000000000002,377.23327566757075,0.23930690856306747,0.8011405571108353,0.0014641341527619463,0.00058520824,0.0007697136934979952,0.0019159200462508501,0.5416884953335773
34,ATSp5,1.0,340.30260837999174,0.24317018305868832,0.8011344597196074,0.0002510132820212566,0.0016182852,0.0012777537497694743,0.005602274747784835,0.5975355617869743
35,nBase,1.0,65.13654430544645,0.1875344082738466,0.8007936249288614,4.9698770120933364e-05,0.000622683,0.0002754397990230569,0.005314627500503729,0.12486121296697941
36,BCUTw-1l,0.9999999999999998,54.39059576705788,0.051069785158415204,0.8024589182779899,0.0015794016090016814,0.0006599741,0.0010522835235346382,0.0013962108323923319,0.03820255350950721
37,BCUTw-1h,1.0,6.207942580016937,0.13567710329722038,0.8021332194946205,4.335078909470079e-05,0.0012063377,0.001031463884135559,0.0009644214302121494,0.22492442576738997
38,BCUTc-1l,1.0,223.80771046378345,0.3653035606128987,0.8027945700102818,0.0031432995617816655,0.006888294,0.026688638418147326,0.002698774422445516,0.05036221471461015
39,BCUTc-1h,1.0,170.08489931858404,0.34703270237590766,0.8026918154293439,0.018136447163330297,0.0005805438,0.0054301862183859925,0.003146268814791734,0.16854230125661343
40,BCUTp-1l,1.0,38.76638191203488,0.23082041161081124,0.8023966983318764,0.006644268450941958,0.0020555237,0.0032601743339915807,0.0017449974399836262,0.05292365070102767
41,BCUTp-1h,1.0000000000000002,443.5835917947887,0.2607859833935091,0.8012020224919955,0.007592768380220953,0.0025115176,0.005275040979379689,0.003943820924186899,0.19590969060212163
42,nBonds,1.0000000000000002,316.8258317160098,0.19574123068912774,0.8010278425671482,3.977995891234843e-06,0.0,4.0956211525982e-05,0.0005915292235240169,0.6022472923820572
43,nBonds2,1.0,320.80853591340696,0.2030088827290477,0.8009954211566174,1.3404623517961257e-05,0.0,0.00022031346429932368,0.0005263543259300229,0.012991256357499939
44,nBondsS,1.0,297.6482610569891,0.19667443801446982,0.8010281329898733,2.309481387748456e-05,0.0003144821,0.0002134867216545623,0.0007150245806216456,0.001092665010511965
45,nBondsS2,1.0000000000000002,221.54516163132968,0.20064821249132603,0.8010979411338014,4.3405018263063386e-05,0.002633765,0.0007244855841293542,0.0006259533992839952,0.02086247541049242
46,nBondsS3,1.0,144.2368290917081,0.18000012280919675,0.801229465684575,0.0011424765962175622,0.000598103,0.0006018429278077941,0.0007887791477773443,0.015460901312049103
47,nBondsD,1.0,103.36662305052975,0.170417416221198,0.8016021017371813,5.4596691355658024e-08,0.00038711482,0.0004231486822638883,0.0011527117267479197,0.04726322914290327
48,nBondsD2,0.9999999999999998,103.50570406132266,0.08882794902977631,0.8021104885749509,0.0002903347686540495,7.053869e-05,0.00024174896753382608,0.0013085896189570286,0.013605033467603127
49,nBondsT,1.0,11.967400328009933,0.00772084326534328,0.8018170475138263,0.0,0.0,2.2288427172514508e-05,9.387439802483454e-05,0.09556264672242509
50,nBondsM,1.0,111.84244820553732,0.1748781687364387,0.801617440485894,0.00010771807012230002,0.0003097111,0.00024748028557236047,0.0005077732581126278,0.050643774784359066
51,bpol,0.9999999999999999,184.86243579109086,0.23932840702066294,0.8011877238584899,0.00016007435866847303,0.0010216262,0.0025072275186196384,0.0007192966000812548,0.15262378214500283
52,C1SP1,0.9999999999999998,12.214117629360326,0.007197832201051524,0.8017848864448118,0.0,0.0,9.45038525122084e-06,7.102135490382547e-05,0.03970205732697332
53,C2SP1,0.9999999999999998,0.0844611152972672,0.0,0.8002131676969525,0.0,0.0,2.8690165353531834e-06,1.3748301786984814e-05,0.03387259025159523
54,C1SP2,0.9999999999999998,391.34917617638376,0.22661150844694222,0.8026681815024815,0.07221523588392129,0.101465546,0.03364420628064667,0.015191670301590084,0.05885109545151887
55,C2SP2,1.0,438.80161362034977,0.22684957270744155,0.8012003899928595,1.2892479005822525e-05,0.00020318473,0.0003921700191762929,0.005296143030965449,0.00616363083233351
56,C3SP2,1.0000000000000002,284.3210491288277,0.17006394559532545,0.8013399526010514,1.8700641008178588e-05,0.0082220975,0.0027390353400926996,0.008453155058843635,0.33541185119193123
57,C1SP3,1.0000000000000002,220.62184022441664,0.12185649112621988,0.8013611335092935,0.0006211048186899031,0.002867914,0.0006870288062874567,0.0018058894250859504,0.3409431781449525
58,C2SP3,1.0000000000000002,77.54561354774555,0.08576385592668423,0.8015144463983956,6.066474286506313e-06,1.4298213e-05,0.0002536442330480481,0.0008716474433417418,0.3375161544242451
59,C3SP3,1.0,0.851865237235333,0.029584912467417013,0.8021191124960401,0.0,0.00020609392,7.710026675586318e-05,0.0006951840752758955,0.1273973047574016
60,C4SP3,0.9999999999999996,12.252691682297048,0.05305363293606402,0.8022839082508241,5.9738256261809e-06,0.0,0.0009988639693701124,0.004274864538288392,0.08559391578807125
61,SCH-3,0.9999999999999998,1.4257297917159777,0.0,0.7997356785499589,0.0,0.0,5.7010871488463706e-08,3.2306077692514554e-06,0.23552085915216592
62,SCH-4,1.0000000000000002,15.098411968894975,0.0018488575508521787,0.8008927124676837,0.0,0.00016209067,8.697387568697788e-07,1.3649602193214071e-05,0.22723246215325416
63,SCH-5,1.0000000000000002,37.629513783196025,0.18387282481327594,0.802462920304643,2.5598474360061825e-05,0.0035927105,0.0018663942925093591,0.0017577778018395592,0.4175880906183861
64,SCH-6,1.0,46.986797435418204,0.19154988239126158,0.8017990448469062,0.00017742587073488062,0.00037797698,0.0013200491305627887,0.0011390187275178625,0.23234260386697966
65,SCH-7,1.0000000000000004,19.64049315035484,0.12416779570038106,0.8019045785477112,0.0005331986374669956,0.00020496271,0.002945269696967005,0.0022219839414519605,0.07944523387649768
66,VCH-3,0.9999999999999998,1.4257297917159777,0.0,0.7997356785499589,0.0,0.0,3.7058024558218937e-06,4.7927862261015956e-06,0.16550582850076243
67,VCH-4,0.9999999999999998,15.363276095288388,0.003388058879107536,0.8006465257989993,3.089883958940291e-05,0.0,6.718365539029037e-07,3.902458334764016e-05,0.2486596066491884
68,VCH-5,1.0000000000000002,2.228140900375151,0.19939493034788125,0.8020357892027775,0.010234266262792798,0.0077270204,0.004948763614255071,0.004834502255795944,0.564705912998721
69,VCH-6,0.9999999999999998,84.94002663848009,0.17930737875315916,0.8015908389237161,6.577751657872236e-05,0.0015869885,0.0015567912276236232,0.0010399076664593348,0.12645069636536138
70,VCH-7,0.9999999999999999,27.16982519581851,0.11747202473446183,0.8018018937054346,0.00015765328984768787,0.003065214,0.0026776583315930324,0.0013662897165560145,0.4033355913233509
