Random Forest,XGBoost,AdaBoost,GradientBoost,MLP,SVR_rbf,Bagging,Bag_KNN,NuSVR
0.7349319610543443,0.7060461316607531,0.5936029425902125,0.7059918854087173,0.6276563260085966,0.6822908418627008,0.7145148900134348,0.6870579197205287,0.6804245004171396
0.6878136069864319,0.6758495497522051,0.56799967420165,0.6665810235010179,0.5904923837909608,0.6561727440458864,0.6575841310880233,0.6269512040065759,0.6651788651292033
0.7457949849874834,0.7018195307344077,0.6023562374684117,0.7227769681665339,0.6672285429404905,0.6919647612139264,0.7171676859668108,0.6985744405058493,0.6987999977503367
0.7308916230195707,0.6941218804051653,0.5916841657181715,0.6953249465346814,0.6392171593362503,0.67798888243774,0.6881488859643722,0.6780630985663656,0.6826064999022593
0.7422630434690556,0.687446082716205,0.5908339567108597,0.710176957952986,0.666219180579073,0.7036305616014765,0.7043190848601892,0.6679857900377011,0.698944705250214
0.7026458659558366,0.6776788526388364,0.5495206911959799,0.6623421287494679,0.6407743459354268,0.6419883633139278,0.6707259451863263,0.6306639447420019,0.6588858925470891
0.7254985203992548,0.7084136201017344,0.5549160523161811,0.689892546451859,0.644257978557869,0.6850720780367918,0.7094894434463703,0.6800301260027639,0.6861579368606472
0.7220663560491376,0.7031362165796577,0.5998132442536542,0.6967069569427744,0.6511035640455003,0.676582443752463,0.6978297668550587,0.6586237978422012,0.6882634796407574
0.7329486238411997,0.7191412440357325,0.5845189152913068,0.7085725753333292,0.4347394039694369,0.6774427954470625,0.692781563898759,0.6613190562843965,0.6847744395397672
0.7384995885039535,0.7183404228932064,0.6038035116709823,0.7261955229106134,0.6611662756527397,0.7039074438804362,0.7153620828429439,0.6911743070481231,0.7056032362754774
