数据库：季度数据
时间：最近13季度
指标,2021年第一季度,2020年第四季度,2020年第三季度,2020年第二季度,2020年第一季度,2019年第四季度,2019年第三季度,2019年第二季度,2019年第一季度,2018年第四季度,2018年第三季度,2018年第二季度,2018年第一季度
地区生产总值_累计值(亿元),5995.25,25002.79,17707.10,11209.83,4987.66,23605.77,16073.56,10334.76,5102.30,20363.19,14773.30,9821.09,4661.12
地区生产总值_累计增长(%),18.4,3.9,2.6,0.8,-6.5,6.3,6.3,6.2,6.0,6.0,6.3,6.5,7.0
第一产业增加值_累计值(亿元),,1803.33,1216.91,610.02,287.37,1551.42,1029.88,509.59,233.11,1378.27,959.67,374.79,153.78
第一产业增加值_累计增长(%),,4.7,3.9,2.4,-1.6,3.6,3.4,4.1,3.9,4.4,4.3,4.2,3.7
第二产业增加值_累计值(亿元),,9992.21,7008.62,4407.84,1727.69,9496.84,6312.55,4105.10,2036.56,8328.79,5842.75,4286.90,1958.52
第二产业增加值_累计增长(%),,4.9,3.9,0.9,-11.0,6.4,6.5,6.5,6.3,3.0,3.7,3.7,4.4
工业增加值_累计值(亿元),,6990.77,4973.74,3176.62,1328.46,6656.72,4436.73,2945.50,1507.81,5997.70,4197.16,3282.34,1505.70
工业增加值_累计增长(%),,5.3,4.0,0.7,-10.3,6.4,5.6,5.2,4.6,1.1,2.0,2.0,2.8
建筑业增加值_累计值(亿元),,3001.44,2034.88,1231.22,399.23,2840.12,1875.82,1159.60,528.75,2331.09,1645.59,1004.56,452.82
建筑业增加值_累计增长(%),,3.4,3.8,1.7,-14.3,6.6,9.6,11.0,12.6,9.8,10.2,10.6,10.8
第三产业增加值_累计值(亿元),,13207.25,9481.57,6191.97,2972.60,12557.51,8731.13,5720.07,2832.63,10656.13,7970.88,5159.40,2548.82
第三产业增加值_累计增长(%),,2.9,1.2,0.5,-3.4,6.4,6.4,6.1,5.8,9.1,8.9,9.3,9.4
交通运输、仓储和邮政业增加值_累计值(亿元),,952.87,673.75,420.40,184.41,977.14,780.80,501.10,232.40,995.48,728.70,471.80,216.92
交通运输、仓储和邮政业增加值_累计增长(%),,0.0,-2.5,-4.8,-10.3,6.9,5.3,4.8,5.6,6.5,6.6,6.9,5.5
批发和零售业增加值_累计值(亿元),,2319.80,1638.16,1055.10,448.34,2192.06,1317.46,868.71,423.04,1710.00,1237.60,814.36,398.23
批发和零售业增加值_累计增长(%),,2.8,1.0,-0.4,-13.9,6.6,5.2,5.3,6.4,5.9,6.6,7.7,7.3
住宿和餐饮业增加值_累计值(亿元),,488.91,340.84,213.04,89.49,501.98,350.06,229.36,115.43,457.17,325.61,213.01,107.18
住宿和餐饮业增加值_累计增长(%),,-5.4,-8.1,-11.9,-28.4,7.5,5.9,5.7,5.6,5.3,5.7,6.3,6.7
金融业增加值_累计值(亿元),,2212.80,1711.11,1144.61,585.83,2087.95,1561.35,1042.67,546.34,1942.33,1427.08,933.27,490.15
金融业增加值_累计增长(%),,3.9,5.5,5.7,4.7,8.0,6.1,7.2,6.1,6.9,7.3,7.0,7.3
房地产业增加值_累计值(亿元),,1577.55,1111.38,725.86,318.47,1473.04,966.20,652.61,313.74,1134.72,870.91,564.29,270.20
房地产业增加值_累计增长(%),,0.5,-0.6,-1.3,-8.0,2.7,2.1,0.6,0.3,0.6,2.0,1.9,1.1
其他服务业增加值_累计值(亿元),,5655.32,4006.33,2632.96,1346.06,5325.34,3755.26,2425.62,1201.68,4416.43,3380.98,2162.67,1066.14
其他服务业增加值_累计增长(%),,4.4,1.6,1.3,2.0,6.3,8.2,7.7,6.9,14.8,13.4,14.0,14.6
地区生产总值比重_累计值(%),,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
第一产业占地区生产总值比重_累计值(%),,7.2,6.9,5.4,5.8,6.6,6.4,4.9,4.6,6.8,6.5,3.8,3.3
第二产业占地区生产总值比重_累计值(%),,40.0,39.6,39.3,34.6,40.2,39.3,39.7,39.9,40.9,39.5,43.6,42.0
工业占地区生产总值比重_累计值(%),,28.0,28.1,28.3,26.6,28.2,27.6,28.5,29.6,29.5,28.4,33.4,32.3
建筑业占地区生产总值比重_累计值(%),,12.0,11.5,11.0,8.0,12.0,11.7,11.2,10.3,11.4,11.1,10.2,9.7
第三产业占地区生产总值比重_累计值(%),,52.8,53.5,55.3,59.6,53.2,54.3,55.4,55.5,52.3,54.0,52.6,54.7
交通运输、仓储和邮政业占地区生产总值比重_累计值(%),,3.8,3.8,3.8,3.7,4.1,4.9,4.8,4.6,4.9,4.9,4.8,4.7
批发和零售业占地区生产总值比重_累计值(%),,9.3,9.3,9.4,9.0,9.3,8.2,8.4,8.3,8.4,8.4,8.3,8.5
住宿和餐饮业占地区生产总值比重_累计值(%),,2.0,1.9,1.9,1.8,2.1,2.2,2.2,2.3,2.2,2.2,2.2,2.3
金融业占地区生产总值比重_累计值(%),,8.9,9.7,10.2,11.7,8.8,9.7,10.1,10.7,9.5,9.7,9.5,10.5
房地产业占地区生产总值比重_累计值(%),,6.3,6.3,6.5,6.4,6.2,6.0,6.3,6.1,5.6,5.9,5.7,5.8
其他服务业占地区生产总值比重_累计值(%),,22.5,22.5,23.5,27.0,22.7,23.3,23.6,23.5,21.7,22.9,22.1,22.9
公有经济地区生产总值_累计值(亿元),,32.10,32.40,33.20,33.60,37.70,37.80,37.90,38.20,38.50,38.70,38.80,39.00
公有经济地区生产总值_累计增长(%),,,,,,,,,,,,,
公有经济占地区生产总值比重_累计值(%),,32.1,32.4,33.2,33.6,37.7,37.8,37.9,38.2,38.5,38.7,38.8,39.0
非公有经济地区生产总值_累计值(亿元),,,,,,62.30,62.20,62.10,61.80,61.50,61.30,61.20,61.00
非公有经济地区生产总值_累计增长(%),,,,,,,,,,,,,
非公有经济占地区生产总值比重_累计值(%),,,,,,62.3,62.2,62.1,61.8,61.5,61.3,61.2,61.0
民营经济地区生产总值_累计值(亿元),,59.00,58.40,57.60,57.30,52.80,51.60,51.40,51.00,50.80,50.60,50.60,50.40
民营经济地区生产总值_累计增长(%),,,,,,,,,,,,,
民营经济占地区生产总值比重_累计值(%),,59.0,58.4,57.6,57.3,52.8,51.6,51.4,51.0,50.8,50.6,50.6,50.4
外商港澳台经济地区生产总值_累计值(亿元),,8.90,9.20,9.20,9.10,9.50,10.60,10.70,10.80,10.70,10.70,10.60,10.60
外商港澳台经济地区生产总值_累计增长(%),,,,,,,,,,,,,
外商港澳台经济占地区生产总值比重_累计值(%),,8.9,9.2,9.2,9.1,9.5,10.6,10.7,10.8,10.7,10.7,10.6,10.6
农林牧渔业总产值_累计值(亿元),,2749.05,1851.88,950.32,460.83,2337.81,1535.74,782.75,367.55,2052.41,1423.92,611.42,248.25
农林牧渔业总产值_累计增长(%),,5.0,4.0,2.5,-1.7,2.9,3.0,3.9,3.5,4.8,5.0,4.5,3.8
粮食产量_累计值(万吨),,1081.42,,119.60,,,,120.10,,1079.30,122.10,122.10,
粮食产量_累计增长(%),,0.6,,-0.5,,,,-1.6,,-0.1,-0.6,-0.6,
油料产量_累计值(万吨),,67.10,51.40,51.40,,,,49.89,,63.70,48.41,,
油料产量_累计增长(%),,2.9,3.0,3.0,,,,2.7,,2.1,4.7,,
蔬菜产量_累计值(万吨),,2092.60,1621.80,1077.20,614.50,2010.64,1056.12,1039.36,597.54,1932.70,1501.92,,596.35
蔬菜产量_累计增长(%),,4.2,4.0,3.7,2.8,4.0,3.9,4.0,4.0,3.8,3.8,,3.9
水果产量_累计值(万吨),,,,,,476.39,303.64,160.04,80.61,431.30,283.30,,46.73
水果产量_累计增长(%),,,,,,10.5,7.3,7.0,7.2,6.9,6.8,,10.2
禽蛋产量_累计值(万吨),,45.72,31.58,19.97,10.44,43.52,30.06,19.03,10.13,41.46,29.09,18.54,9.93
禽蛋产量_累计增长(%),,5.1,5.1,4.9,3.1,5.0,3.3,2.6,2.0,2.9,2.5,3.4,3.2
猪出栏数量_累计值(万头),,1434.53,928.53,634.95,395.15,1480.42,1028.27,766.38,525.15,1758.22,1131.21,772.76,527.49
猪出栏数量_累计增长(%),,-3.1,-9.7,-17.1,-24.8,-15.8,-9.1,-0.8,-0.4,0.4,0.8,1.5,1.4
羊出栏数量_累计值(万只),,449.67,221.52,167.34,121.33,449.41,222.65,169.33,123.69,447.04,225.17,173.69,126.77
羊出栏数量_累计增长(%),,0.1,-0.5,-1.2,-1.9,0.5,-1.1,-2.5,-2.4,-0.4,-0.3,-0.5,0.9
牛出栏数量_累计值(万头),,55.53,27.48,13.60,8.37,54.90,27.14,13.70,8.41,54.49,27.55,13.53,8.27
牛出栏数量_累计增长(%),,1.1,1.2,-0.8,-0.5,0.8,-1.5,1.3,1.7,-2.2,-4.0,-3.1,-1.6
家禽出栏量_累计值(万只),,22872.22,15620.91,9781.57,5057.84,22415.23,15971.14,10714.66,6344.22,21349.17,15693.62,10626.08,6291.17
家禽出栏量_累计增长(%),,2.0,-2.2,-8.7,-20.3,5.0,1.8,0.8,0.8,0.2,-0.2,0.7,-0.2
猪牛羊禽肉_累计值(万吨),,158.06,98.80,67.21,40.20,160.16,105.80,77.15,51.49,178.46,113.15,77.30,51.40
猪牛羊禽肉_累计增长(%),,-1.3,-6.6,-12.9,-21.9,-10.3,-6.5,-0.2,0.2,1.2,0.2,1.1,0.9
猪肉产量_累计值(万吨),,108.82,68.36,48.23,29.89,112.07,75.12,56.97,39.42,132.16,82.82,57.21,39.39
猪肉产量_累计增长(%),,-2.9,-9.0,-15.3,-24.2,-15.2,-9.3,-0.4,0.1,1.7,0.7,1.5,1.3
建筑业总产值_累计值(亿元),,8974.97,6159.23,3900.50,1643.19,8222.96,5653.76,3694.20,1757.79,7819.42,5384.68,3524.62,1696.22
建筑业总产值_累计增长(%),,9.1,8.9,5.6,-6.5,5.2,5.0,4.8,3.6,2.8,2.2,4.0,10.3
建筑工程产值_累计值(亿元),,8112.08,5570.02,3542.76,1480.06,7422.79,5095.28,3338.44,1584.10,7070.06,4858.14,3183.35,1515.72
建筑工程产值_累计增长(%),,9.3,9.3,6.1,-6.6,5.0,4.9,4.9,4.5,3.1,1.3,3.4,8.2
安装工程产值_累计值(亿元),,590.90,385.61,237.12,110.28,528.30,361.71,230.21,113.12,481.50,331.18,211.22,116.92
安装工程产值_累计增长(%),,11.8,6.6,3.0,-2.5,9.7,9.2,9.0,-3.3,6.5,16.8,13.1,39.0
其他产值_累计值(亿元),,271.99,203.59,120.62,52.85,271.87,196.77,125.55,60.57,267.86,195.36,130.06,63.58
其他产值_累计增长(%),,0.0,3.5,-3.9,-12.7,1.5,0.7,-3.5,-4.7,-9.2,3.8,6.2,19.4
房屋建筑施工面积_累计值(万平方米),,38122.60,33708.66,25925.38,19609.01,36557.76,29336.77,25518.97,19452.72,35140.02,28393.26,23038.19,18030.36
房屋建筑施工面积_累计增长(%),,4.3,14.9,1.6,0.8,4.0,3.3,10.8,7.9,5.8,0.4,2.7,3.5
建筑业新开工面积_累计值(万平方米),,15007.68,10830.22,6739.83,2555.37,15132.45,9948.30,6728.64,3541.65,15156.00,10459.31,6888.41,3748.90
建筑业新开工面积_累计增长(%),,-0.8,8.9,0.2,-27.3,-0.2,-4.9,-2.3,-6.2,8.8,-0.2,0.2,-0.8
房屋建筑竣工面积_累计值(万平方米),,14050.13,8450.83,5616.63,2365.99,13618.26,7637.26,5643.15,2771.51,13780.06,8587.53,5631.57,2863.41
