数据库：季度数据
时间：最近13季度
指标,2021年第一季度,2020年第四季度,2020年第三季度,2020年第二季度,2020年第一季度,2019年第四季度,2019年第三季度,2019年第二季度,2019年第一季度,2018年第四季度,2018年第三季度,2018年第二季度,2018年第一季度
成品油消费量_累计值(万吨),,883.00,567.00,367.00,168.00,,,,,898.10,701.97,,
成品油消费量_累计增长(%),,-8.5,-27.3,-9.0,,,,,,3.1,,,
实际利用内资金额_累计值(亿元),,,,,,,,,,,,,1747.34
实际利用内资金额_累计增长(%),,,,,,,,,,,,,2.6
第一产业实际利用内资金额_累计值(亿元),,,,,,,,,,,,,98.26
第一产业实际利用内资金额_累计增长(%),,,,,,,,,,,,,3.9
第二产业实际利用内资金额_累计值(亿元),,,,,,,,,,,,,682.89
第二产业实际利用内资金额_累计增长(%),,,,,,,,,,,,,-7.6
工业实际利用内资金额_累计值(亿元),,,,,,,,,,,,,592.14
工业实际利用内资金额_累计增长(%),,,,,,,,,,,,,0.9
第三产业实际利用内资金额_累计值(亿元),,,,,,,,,,,,,966.19
第三产业实际利用内资金额_累计增长(%),,,,,,,,,,,,,-7.6
房地产业实际利用内资金额_累计值(亿元),,,,,,,,,,,,,459.39
房地产业实际利用内资金额_累计增长(%),,,,,,,,,,,,,9.7
实际利用东部省份资金金额_累计值(亿元),,,,,,,,,,,,,1107.86
实际利用东部省份资金金额_累计增长(%),,,,,,,,,,,,,2.0
实际利用中部省份资金金额_累计值(亿元),,,,,,,,,,,,,205.26
实际利用中部省份资金金额_累计增长(%),,,,,,,,,,,,,7.1
实际利用西部省份资金金额_累计值(亿元),,,,,,,,,,,,,434.22
实际利用西部省份资金金额_累计增长(%),,,,,,,,,,,,,2.3
数据来源：重庆统计局
