Linear Regression,Ridge Regression,Linear SVM,SVM,XGBoost,AdaBoost
0.6044549298651942,0.6044546426486745,0.5967281234144395,0.6835209858712483,0.6923813636745075,0.5764545627474358
0.6395098018051073,0.6395933244616798,0.6346053729572155,0.757331629080505,0.7277657758600333,0.6204207373530658
0.6292871477775555,0.62925545620327,0.6075517862059192,0.7226808829172982,0.6831753399724076,0.5797396442456227
0.5822980608340178,0.5825187972283055,0.6030255208673001,0.7437943435851894,0.6676147324764372,0.6044881609646937
0.6424768411157358,0.6424600825304978,0.6452174098968182,0.7313788479095356,0.6747646135944964,0.6154698746035796
0.6032729207551493,0.6033083707656266,0.5955930377570312,0.7126355073594632,0.7072363399858359,0.6288301699738996
0.5955032648850264,0.5955796510863829,0.5933071279287031,0.7091220079326169,0.6644407841671913,0.6032118381151316
0.6454769308324664,0.6454667084922565,0.6161466612874589,0.7242689418521433,0.7247381342292825,0.6670802233788982
0.6508794083126817,0.6508935861502005,0.6452946965833246,0.7415249864297059,0.7163980187730475,0.6301774871792689
0.6016625041155368,0.6017348630859165,0.5720092562867984,0.6856720054388917,0.6282652011827907,0.6359062555441799
0.6153948243439618,0.6154175048943125,0.574097580131165,0.7126968213741687,0.6664125591077805,0.605991410889265
0.6441132734665251,0.6441070823222947,0.6324202204244829,0.7124012234574877,0.7159260093497564,0.6287751108266626
0.6272245670450509,0.6271593051998445,0.5798869804346161,0.7243819285296392,0.6750184762387021,0.6315459191023436
0.6329489317302049,0.6329525070370847,0.600431256458474,0.6935876390769451,0.6955614877980008,0.6134869394002987
0.6071664555193996,0.607301807189764,0.6324096139610663,0.718801237402027,0.6917425457695223,0.6169763687432022
0.6311754975884348,0.6312325986103801,0.6404944677809152,0.7392331721900356,0.7276643808721115,0.6244080953133355
0.5981927765269763,0.5981603037611054,0.5666606934442584,0.6644111456168412,0.6757445837452547,0.5924536361971146
0.5655356876562392,0.5655504921555983,0.5513070790423485,0.6743853524030112,0.6902472131812232,0.5784923462751819
0.6003231314505357,0.6003478701402487,0.5906240754066578,0.69569553479294,0.6724365251088229,0.5782200664948429
0.6338877229598565,0.6338531488618183,0.6031657194741598,0.7112968849754735,0.6575555125105617,0.5933829818883664
