LinearRegression,DecisionTree,Lasso,XGBoost,AdaBoost
0.10045307294729644,-0.23804595257675354,0.22881400112332273,-0.34273626828978876,0.08087458920836799
0.19682179791752608,-0.828440066246064,0.14013629207655875,0.03654208967253825,0.22732700832348618
0.12898587848328158,-0.5137924147021828,0.22754010285728898,-0.12288819644495708,0.12507386157976275
0.19134971597993156,-0.8560558917446326,0.26376428026069476,-0.08059716219038715,0.2862514455761229
0.1578581978874073,-1.0092258025186394,0.19093972058900288,-0.17294664328051002,0.04760228831054891
0.30605081082090546,-0.7069503480231014,0.22682853610671372,0.03942957212267262,0.3030908864301789
0.36603260926497416,-0.46857998192587225,0.2757481602747729,-0.2882668079928561,0.2324649765047817
-0.12084136925544997,-0.7375422482087024,0.07903718402870008,-0.27811784581929566,-0.06682695350838586
0.20557338225099042,-0.2953270510088497,0.13572295112382993,-0.0201678217756025,0.029656437793005974
-0.5704559803542086,-1.1057752791953712,-0.2139922622295285,-0.17950245255799158,0.1196849479592319
