LinearRegression,DecisionTree,Lasso,XGBoost,AdaBoost
0.859857316699195,0.6805193915628185,0.7593927720991951,0.8142111920064338,0.7915764413399389
0.6409093528146244,0.5556786978162869,0.631406050698814,0.6667751824603825,0.680175090064217
0.7728926818782915,0.603697082219527,0.6463094843116688,0.7747983019948491,0.705287956324189
0.8569332030680976,0.6105558799388917,0.7065553296317557,0.739617786854353,0.7660627424913617
0.7560637963854433,0.44855619876166264,0.731239132900493,0.7009531417276688,0.7384896594238464
0.780367966207357,0.5675224016057745,0.617397042350506,0.752212949695862,0.7250715681643461
0.818500787355184,0.6464500299540585,0.6258750887328721,0.8050926338442398,0.7790223677446275
0.80324748819296,0.6304024457224549,0.706584688301812,0.7624741927922184,0.7197869718285095
0.8229477935546383,0.7171570228876353,0.7095282052605303,0.7053274522402703,0.7264288956480964
0.784032142071176,0.5225693729403957,0.6867895138547917,0.7835510468860966,0.8098039140189333
